 ,Sëmundje,Masaparaprake_1,Masaparaprake_2,Masaparaprake_3,Masaparaprake_4
0, Reagim i drogës,ndaloni acarimin, konsultohuni me spitalin më të afërt, ndaloni marrjen e drogës, ndiqni
1, Malaria,Konsultohuni me spitalin më të afërt, shmangni ushqimin me vaj, shmangni ushqimin jo vegjetal, mbani jashtë mushkonjat
2, Alergji,aplikoni kalaminë, mbuloni zonën me fashë, përdorni akull për të ngjeshur kruarjen,
3, Hipotireoza,zvogëlon stresin, ushtroni, hani shëndetshëm, bëni gjumë të duhur
4, Psoriasis,lani duar me ujë të ngrohtë me sapun, ndaloni gjakderdhjen duke përdorur presion, konsultohuni me mjekun, banja me kripë
5, GERD,shmangni ushqimin me erëzat e yndyrshme, shmangni shtrirjen pas ngrënies, mbani peshë të shëndetshme, ushtroni
6, Kolestaza kronike,banjat të ftohta, ilaç kundër kruarjes, konsultohuni me mjekun, ushqehuni shëndetshëm
7, Hepatiti A,Konsultohuni me spitalin më të afërt, lani duar, shmangni ushqimet pikante yndyrore, mjekimet
8, Osteoartrozë,acetaminophen, konsultohuni me spitalin më të afërt, ndiqni, banja me kripë
9, (vertigo) Vertigo pozicionale paroxysmal,shtrihuni, shmangni ndryshimet e papritura në trup, shmangni lëvizjet e papritura të kokës, relaksohuni
10, Hipoglikemia,shtrihuni anash, kontrolloni pulsit, pini pijë me sheqer, konsultohuni me mjekun
11, Aknet,dush dy herë, shmangni ushqimet me erëza të yndyrshme, pini shumë ujë, shmangni shumë produkte
12, Diabeti,keni dieta të ekuilibruara, bëni stërvitje, konsultohuni me mjekun, ndiqni
13, Impetigo,lagni zonën e prekur në ujë të ngrohtë, përdorni antibiotikë, hiqni kore me leckë të lagur, konsultohuni me mjekun
14, Hipertensioni,meditimi, banjat me kripë, reduktoni stresin, bëni gjumë të duhur
15, Sëmundja e ulçerës peptike,shmangni ushqimet pikante yndyrore, konsumoni ushqime probiotike, eliminoni qumështin, kufizoni alkoolin
16, Hemorroidet dimorfike (grumbullat),shmangni ushqimin yndyrshëm e pikant, konsumoni lajthinë, banjat të ngrohta me kripë epsom, konsumoni lëng aloe vera
17, Ftohja e zakonshme,pini pijë të pasura me vitaminë C, merrni avull, shmangni ushqimin e ftohtë, mbani nën kontroll temperaturën
18, Lija e dhenve,përdorni neem në larje, konsumoni gjethe neem, merrni vaksinë, shmangni vendet publike
19, Spondiloza e qafës së mitrës,përdorni jastëk ngrohjeje ose paketa të ftohta, bëni ushtrime fizike, merrni qetësues dhimbjesh, konsultohuni me mjekun
20, Hipertiroidizmi,hani shëndetshëm, masazhoni, përdorni balsam limoni, merrni trajtime me jod radioaktiv
21, Infeksioni i traktit urinar,pini shumë ujë, rrisni marrjen e vitaminës C, pini lëng boronicë, merrni probiotikë
22, Venat varikoze,shtrihuni dhe ngrini këmbën lart, përdorni pomadë, përdorni ingjeshje të venave, mos qëndroni pa lëvizur për një kohë të gjatë
23, SIDA,shmangni prerjet e hapura, vishni PPE nëse është e mundur, konsultohuni me mjekun, ndiqni
24, Paraliza (hemorragjia e trurit), masazhoni, hani shëndetshëm, ushtroni, konsultohuni me mjekun
25, Tifo, hani perime me kalori të lartë, terapi antibiotike, konsultohuni me mjekun, mjekim
26, Hepatiti B,konsultohuni me spitalin më të afërt, vaksinohuni, hani shëndetshëm, mjekim
27, Infeksion mykotik,dush dy herë, përdorni detolos në emrin e ujit në banjë, mbani zonën e infektuar të thatë, përdorni leckë të pastra
28, Hepatiti C, konsultohuni me spitalin më të afërt, vaksinohuni, hani shëndetshëm, mjekim
29, Migrena,meditimi, reduktimi i stresit, përdorimi i syzeve polaroid në diell, konsultohuni me mjekun
30, Astma bronkiale,kaloni në veshje të lirshme, merrni frymë thellë, largohuni nga këmbëza, kërkoni ndihmë
31, Hepatiti alkoolik,ndaloni konsumimin e alkoolit, konsultohuni me mjekun, mjekim, ndiqni
32, Verdhëza,pini shumë ujë, konsumoni gjembaçin, hani fruta dhe ushqim me fibra, mjekim
33, Hepatiti E,ndaloni konsumimin e alkoolit, pushoni, konsultohuni me mjekun, mjekim
34, Denge,pini lëng gjethe shpapaja, shmangni ushqimet pikante yndyrore, mbani larg mushkonjat, mbani të hidratuar
35, Hepatiti D,konsultohuni me mjekun, mjekim, hani shëndetshëm, ndiqni
36, Sulmi në zemër,telefononi ambulancën, përtypni ose gëlltisni aspirinë, qëndroni të qetë,
37, Pneumoni,konsultohuni me mjekun, mjekim, pushoni, ndiqni
38, Artrit,stërvitje, përdorni terapinë e nxehtë dhe të ftohtë, provoni akupunkturë, masazh
39, Gastroenterit,stoponi të hani ushqime të ngurta për një kohë, provoni të pini gllënjka të vogla ujë, pushoni, qetësohuni për të ngrënë
40, Tuberkulozi,mbuloni gojën, konsultohuni me mjekun, mjekimin, pushoni
